1,12,33,57,120,160,50
2,14,36,64,135,180,100
3,16,39,71,150,200,200
4,18,42,78,165,220,300
5,20,45,85,180,240,500
6,22,48,92,195,260,800
7,24,51,99,210,280,1000
8,26,54,106,225,300,1240
9,28,57,113,240,320,1990
10,30,60,120,255,340,3020
11,32,63,127,270,360,4420
12,34,66,134,285,380,6250
13,36,69,141,300,400,8600
14,38,72,148,315,420,11570
15,40,75,155,330,440,15230
16,42,78,162,345,460,19710
17,44,81,169,360,480,25120
18,46,84,176,375,500,31560
19,48,87,183,390,520,39170
20,50,90,190,405,540,48080
21,52,93,197,420,560,58430
22,54,96,204,435,580,70380
23,56,99,211,450,600,84060
24,58,102,218,465,620,99650
25,60,105,225,480,640,117320
26,62,108,232,495,660,137230
27,64,111,239,510,680,159580
28,66,114,246,525,700,184560
29,68,117,253,540,720,212360
30,70,120,260,555,740,405180
31,72,123,267,570,760,461960
32,74,126,274,585,780,524500
33,76,129,281,600,800,593180
34,78,132,288,615,820,668400
35,80,135,295,630,840,1801100
36,82,138,302,645,860,2015900
37,84,141,309,660,880,2249410
38,86,144,316,675,900,2502600
39,88,147,323,690,920,2776590
40,90,150,330,705,940,3840810
41,92,153,337,720,960,4239490
42,94,156,344,735,980,4668440
43,96,159,351,750,1000,5129140
44,98,162,358,765,1020,5623130
45,100,165,365,780,1040,7382780
46,102,168,372,795,1060,8061150
47,104,171,379,810,1080,8785230
48,106,174,386,825,1100,9557030
49,108,177,393,840,1120,10378600
50,110,180,400,855,1140,15628830
51,112,183,407,870,1160,16916980
52,114,186,414,885,1180,18283170
53,116,189,421,900,1200,19730500
54,118,192,428,915,1220,21262100
55,120,195,435,930,1240,45768400
56,122,198,442,945,1260,49191500
57,124,201,449,960,1280,52802900
58,126,204,456,975,1300,56609600
59,128,207,463,990,1320,60618300
60,130,210,470,1005,1340,77760200
61,132,213,477,1020,1360,83078900
62,134,216,484,1035,1380,88665900
63,136,219,491,1050,1400,94529800
64,138,222,498,1065,1420,100679900
65,140,225,505,1080,1440,107125100
66,142,228,512,1095,1460,113874700
67,144,231,519,1110,1480,120938300
68,146,234,526,1125,1500,128325400
69,148,237,533,1140,1520,136045800
70,150,240,540,1155,1540,168070200
71,152,243,547,1170,1560,177887000
72,154,246,554,1185,1580,188127600
73,156,249,561,1200,1600,198803900
74,158,252,568,1215,1620,209928100
75,160,255,575,1230,1640,221512700
76,162,258,582,1245,1660,233570100
77,164,261,589,1260,1680,246113000
78,166,264,596,1275,1700,259154300
79,168,267,603,1290,1720,272706900
80,170,270,610,1305,1740,327680200
81,172,273,617,1320,1760,344380500
82,174,276,624,1335,1780,361711100
83,176,279,631,1350,1800,379687500
84,178,282,638,1365,1820,398325500
85,180,285,645,1380,1840,417641300
86,182,288,652,1395,1860,437651100
87,184,291,659,1410,1880,458371300
88,186,294,666,1425,1900,479818500
89,188,297,673,1440,1920,502009400
90,190,300,680,1455,1940,590490200
91,192,303,687,1470,1960,617183200
92,194,306,694,1485,1980,644770800
93,196,309,701,1500,2000,673273000
94,198,312,708,1515,2020,702709600
95,200,315,715,1530,2040,733101000
96,202,318,722,1545,2060,764467400
97,204,321,729,1560,2080,796829600
98,206,324,736,1575,2100,830208400
99,208,327,743,1590,2120,884624900
100,210,330,750,1605,2140,0
